 x 						y
 588773.787400574          6137244.34186514
 588771.629087639          6137294.35097413
 588776.993393928          6137310.64821975
 588779.381301487          6137260.64800111
 588781.42239484          6137210.64904027
 588782.123284618          6137194.68717949
 588787.847263979          6137184.97955171
 588785.91530458          6137235.08343949
 588783.902838623          6137285.09019689
 588783.066197839          6137304.93904512
 588789.196720001          6137309.52571992
 588791.430681829          6137259.49808555
 588793.469249849          6137209.44687162
 588794.27946322          6137190.00015563
 588800.582639592          6137189.94415572
 588797.745139908          6137239.92173486
 588795.672681309          6137290.02440413
 588794.856552049          6137310.19109553
 588801.544133303          6137311.55403074
 588803.365838942          6137261.46335627
 588805.410288582          6137211.34953407
 588806.113825452          6137193.98152249
 588812.083811212          6137188.71537858
 588809.787233422          6137238.69639501
 588807.746596989          6137288.71425042
 588806.861630872          6137310.99604408
 588813.534228446          6137311.81253328
 588815.376054628          6137261.84698717
 588817.404378122          6137211.76834479
 588818.1947376          6137192.55304096
 588824.307072618          6137188.64620588
 588821.815224309           6137238.6292388
 588819.778550265          6137288.60681712
 588819.012339294          6137306.71037779
 588825.251952236          6137310.13748104
 588827.430692424          6137260.07192878
 588829.486362885          6137210.06131279
 588830.07377514          6137195.70937575
 588835.615898948          6137187.70128766
 588833.878527467          6137237.83543008
 588831.787510671          6137287.84407812
 588830.866797724          6137310.60187902
 588837.08089858          6137312.77545944
 588839.35510103          6137262.71623193
 588841.409259632          6137212.63103984
 588842.312530392           6137190.3440996
 588847.93370491          6137193.45884165
 588845.629247202          6137243.42563932
 588843.579171411          6137293.38922938
 588842.806964008          6137312.37653415
 588848.732023602          6137312.25286474
 588851.392410779          6137262.24324041
 588853.417259401          6137212.24276382
 588854.106358415          6137196.23013754
 588860.350406003          6137193.11818671
 588857.672347787          6137243.08391233
 588855.609275104          6137293.08921823
 588854.856393161          6137311.00506857
 588861.154370624          6137313.79711292
 588863.327852124          6137263.79642677
 588865.37198351          6137213.72167902
 588866.166182774          6137194.69676573
 588872.137847639          6137195.18410504
 588869.588553714          6137245.14480483
 588867.542188991          6137295.24303585
 588866.907301764          6137310.01127549
 588872.868522268          6137314.65144559
 588875.274533416          6137264.68406113
 588877.312382325          6137214.60622868
 588878.102400589          6137195.31074512
 588884.209008822          6137196.11038171
 588881.556846572          6137246.18202811
 588879.50142043          6137296.18032512
 588878.77539412          6137314.06058218
 588885.093467828          6137314.47317074
 588887.327364951          6137264.46459023
 588889.359171374          6137214.40594693
 588890.134439209          6137195.03750878
 588896.083187742          6137195.43775465
 588893.607787812          6137245.47576823
 588891.545265759          6137295.44090333
 588890.782011203          6137313.93538588
 588897.470339715          6137314.47730939
 588899.34029104          6137264.41717007
 588901.362167811          6137214.45585743
 588902.077432757          6137197.25009212
